Sample_ID	Sample_barcodes_extracted	sample_desc	Sample_Type	Jar_Number	Jar_Label	Conc_class	Div_class	Plast_class	Depth_class	Sample_date	timepoint	Total_vol_extracted_ml	pore_size	Depth_m	Cnt_pieces_extracted	Extraction_Date	Plastic_colors_counts	Extraction_Group
DNA_33	MIW21-0244, MIW21-0245, MIW21-0246	plastic DNA	jar plastic	49	H-CON L-DIV YL-SURF_1	H-CON	L-DIV	YL	SURF	2021-09-01	T1	NA	NA	NA	3	2021-10-27	yellow	SR
DNA_34	MIW21-0782	plastic DNA	jar plastic	49	H-CON L-DIV YL-SURF_1	H-CON	L-DIV	YL	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_36	MIW21-0116, MIW21-0117, MIW21-0118, MIW21-0119	plastic DNA	jar plastic	50	H-CON L-DIV YL-SURF_2	H-CON	L-DIV	YL	SURF	2021-09-01	T1	NA	NA	NA	22 maybe?	2021-10-27	yellow	BB/SD
DNA_37	MIW21-0783	plastic DNA	jar plastic	50	H-CON L-DIV YL-SURF_2	H-CON	L-DIV	YL	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_39	MIW21-0110, MIW21-0111, MIW21-0112	plastic DNA	jar plastic	51	H-CON L-DIV YL-SURF_3	H-CON	L-DIV	YL	SURF	2021-09-01	T1	NA	NA	NA	19 maybe?	2021-10-27	yellow	BB/SD; D2
DNA_4	MIW21-0196, MIW21-0197, MIW21-0199	plastic DNA	jar plastic	5	H-CON H-DIV SURF_2	H-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	3	2021-10-27	NA	D2
DNA_40	MIW21-0781	plastic DNA	jar plastic	51	H-CON L-DIV YL-SURF_3	H-CON	L-DIV	YL	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_42	MIW21-0211, MIW21-0212, MIW21-0213	plastic DNA	jar plastic	52	M-CON H-DIV SURF_1	M-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	3	2021-10-27	film, pink, blue	BB/SD
DNA_43	MIW21-0322, MIW21-0323, MIW21-0325, MIW21-0326, MIW21-0327, MIW21-0328	plastic DNA	jar plastic	52	M-CON H-DIV SURF_1	M-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_45	MIW21-0214, MIW21-0215, MIW21-0216, MIW21-0217	plastic DNA	jar plastic	53	M-CON H-DIV SURF_2	M-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	NA	D2
DNA_46	MIW21-0614, MIW21-0615, MIW21-0616, MIW21-0617, MIW21-0618, MIW21-0619	plastic DNA	jar plastic	53	M-CON H-DIV SURF_2	M-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_48	MIW21-0218, MIW21-0219, MIW21-0220, MIW21-0221	plastic DNA	jar plastic	54	M-CON H-DIV SURF_3	M-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	NA	WM
DNA_49	MIW21-0623, MIW21-0624, MIW21-0626, MIW21-0627, MIW21-0628	plastic DNA	jar plastic	54	M-CON H-DIV SURF_3	M-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	MD
DNA_5	MIW21-0397, MIW21-0398, MIW21-0399, MIW21-0401, MIW21-0402, MIW21-0400	plastic DNA	jar plastic	5	H-CON H-DIV SURF_2	H-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_51	MIW21-0295	plastic DNA	jar plastic	55	L-CON H-DIV SURF_1	L-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_53	MIW21-0296	plastic DNA	jar plastic	56	L-CON H-DIV SURF_2	L-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_55	MIW21-0297	plastic DNA	jar plastic	57	L-CON H-DIV SURF_3	L-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_57	MIW21-0488	plastic DNA	jar plastic	61	L-CON L-DIV SURF_1	L-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_59	MIW21-0489	plastic DNA	jar plastic	62	L-CON L-DIV SURF_2	L-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_61	MIW21-0490	plastic DNA	jar plastic	63	L-CON L-DIV SURF_3	L-CON	L-DIV	FILM	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_63	MIW21-0307	plastic DNA	jar plastic	67	H-CON L-DIV FILM-DEEP_1	H-CON	L-DIV	FILM	DEEP	2021-09-01	T1	NA	NA	NA	10	2021-10-27	film	BB
DNA_64	MIW21-0344	plastic DNA	jar plastic	67	H-CON L-DIV FILM-DEEP_1	H-CON	L-DIV	FILM	DEEP	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
